Ticker,Date/Time,Open,High,Low,Close,Volume
CI5,11/30/2017,11.80,11.80,10.00,10.00,2400.00
CI5,12/15/2017,8.60,9.80,8.50,9.00,13988.00
CI5,1/22/2018,9.00,9.40,9.00,9.40,8900.00
CI5,2/28/2018,9.00,9.60,9.00,9.40,12118.00
CI5,3/21/2018,9.40,11.70,9.10,11.70,6894.00
CI5,4/23/2018,11.70,11.70,11.50,11.50,107.00
CI5,5/24/2018,11.50,11.60,11.50,11.60,135.00
CI5,6/28/2018,11.60,11.60,11.10,11.10,106.00
CI5,7/31/2018,11.10,12.70,11.10,12.70,212.00
CI5,8/29/2018,10.80,14.00,10.80,14.00,301.00
CI5,9/28/2018,14.00,14.00,11.50,11.50,1100.00
CI5,10/31/2018,9.80,9.80,6.20,8.50,21799.00
CI5,11/28/2018,7.30,9.20,6.40,9.20,3600.00
CID,1/29/2013,5.79,6.52,5.79,6.16,1000.00
CID,2/27/2013,6.16,6.25,5.79,5.79,10400.00
CID,3/22/2013,5.79,5.79,5.61,5.79,1500.00
CID,4/23/2013,5.79,6.06,5.61,6.06,14100.00
CID,5/29/2013,5.52,5.52,5.16,5.25,11300.00
CID,6/28/2013,5.25,5.43,5.25,5.25,11500.00
CID,7/31/2013,5.30,5.30,5.30,5.30,1000.00
CID,8/22/2013,4.80,4.80,4.10,4.10,400.00
CID,9/30/2013,3.70,3.70,3.70,3.70,100.00
CID,10/25/2013,3.40,4.00,3.40,4.00,1800.00
CID,11/28/2013,4.10,4.50,3.60,4.50,7000.00
CID,12/27/2013,4.20,7.30,4.20,7.30,1100.00
CID,1/24/2014,7.70,14.70,7.70,14.70,1400.00
CID,2/12/2014,15.80,15.80,14.30,15.50,500.00
CID,3/7/2014,14.00,15.00,13.50,14.50,700.00
CID,7/29/2014,13.10,13.10,9.50,9.50,500.00
CID,8/29/2014,8.60,9.40,7.70,7.70,2400.00
CID,9/30/2014,7.10,7.10,4.10,4.80,17700.00
CID,10/31/2014,4.90,4.90,4.30,4.90,2100.00
CID,11/27/2014,4.50,4.70,4.50,4.60,2200.00
CID,1/31/2015,4.60,4.60,4.60,4.60,200.00
CID,3/31/2015,4.60,4.60,4.60,4.60,100.00
CID,4/30/2015,4.60,4.60,4.60,4.60,500.00
CID,9/30/2015,4.70,4.70,4.70,4.70,100.00
CID,10/31/2015,4.30,4.30,4.30,4.30,100.00
CID,11/11/2015,3.90,4.20,3.90,4.20,200.00
CID,12/28/2015,4.20,4.50,4.20,4.50,200.00
CID,1/31/2016,4.10,4.10,4.10,4.10,100.00
CID,2/29/2016,4.50,4.50,4.50,4.50,200.00
CID,3/31/2016,4.10,4.10,4.10,4.10,100.00
CID,4/28/2016,3.70,3.70,2.20,2.20,6100.00
CID,5/17/2016,2.90,2.90,2.50,2.50,1000.00
CID,6/28/2016,2.60,3.50,2.60,3.50,14700.00
CID,7/25/2016,3.60,3.60,2.70,3.00,8100.00
CID,8/23/2016,3.10,4.10,3.10,4.10,61200.00
CID,1/31/2017,5.10,5.10,5.10,5.10,100.00
CID,4/28/2017,7.10,8.10,7.10,8.10,200.00
CID,5/29/2017,8.10,14.90,8.10,14.90,2700.00
CID,6/16/2017,16.70,20.50,16.70,17.50,500.00
CID,7/25/2017,15.00,15.00,12.80,12.80,200.00
CID,8/30/2017,10.90,10.90,3.20,3.20,4000.00
CID,9/29/2017,3.60,5.00,3.40,5.00,2800.00
CID,10/30/2017,5.70,5.70,3.40,3.40,700.00
CID,11/23/2017,2.90,2.90,1.90,2.50,6500.00
CID,12/26/2017,2.50,2.80,2.40,2.80,10200.00
CID,1/25/2018,2.40,2.50,2.40,2.50,600.00
CID,2/21/2018,2.20,2.20,1.90,2.20,2700.00
CID,5/31/2018,2.10,2.10,2.10,2.10,500.00
CID,7/31/2018,2.80,2.80,2.80,2.80,1000.00
CID,8/31/2018,2.40,6.30,2.40,6.30,1700.00
CID,9/30/2018,5.40,5.40,5.40,5.40,1000.00
CID,10/31/2018,6.20,6.20,6.20,6.20,1500.00
CID,11/29/2018,7.10,8.00,5.70,5.70,700.00
CHP,4/8/2014,7.90,8.49,7.90,8.23,83800.00
CHP,9/30/2016,17.36,17.36,15.93,16.33,251630.00
CHP,10/31/2016,16.33,16.65,15.97,16.25,429810.00
CHP,11/30/2016,16.17,16.73,16.01,16.69,382130.00
CHP,12/30/2016,16.65,16.73,16.17,16.49,325650.00
CHP,1/25/2017,16.41,17.52,16.33,17.13,206050.00
CHP,2/28/2017,17.12,18.56,17.12,18.00,336050.00
CHP,3/31/2017,17.92,18.72,17.52,18.24,426090.00
CHP,4/28/2017,18.24,18.64,17.88,18.16,804670.00
CHP,5/31/2017,18.16,19.65,18.16,19.26,2307480.00
CHP,6/30/2017,19.65,23.49,19.39,23.19,2224480.00
CHP,7/31/2017,23.11,25.46,22.98,23.49,1889090.00
CHP,8/31/2017,23.41,23.92,21.35,22.64,2349710.00
CHP,9/29/2017,22.59,23.83,22.04,23.06,1864370.00
CHP,10/31/2017,23.23,24.00,22.72,23.15,2213060.00
CHP,11/30/2017,22.98,24.77,22.29,23.28,2221600.00
CHP,12/29/2017,23.66,25.46,22.21,22.59,2818120.00
CHP,1/31/2018,21.01,23.79,21.01,22.64,1773440.00
CHP,2/28/2018,22.63,23.70,20.95,22.86,977310.00
CHP,3/30/2018,22.81,23.08,21.30,21.48,831110.00
CHP,4/27/2018,21.48,22.10,20.86,21.70,718010.00
CHP,5/31/2018,22.01,22.99,21.75,22.55,617990.00
CHP,6/29/2018,22.73,24.20,22.10,23.00,475760.00
CHP,7/31/2018,23.00,23.80,22.50,23.55,942470.00
CHP,8/31/2018,23.20,23.80,22.50,22.80,1805140.00
CHP,9/28/2018,23.00,23.00,21.80,22.80,454130.00
CHP,10/31/2018,22.75,22.80,22.00,22.50,397890.00
CHP,11/30/2018,22.15,22.50,20.50,22.35,220580.00
CHP,12/21/2018,21.85,22.35,20.30,21.20,199690.00
CIP,12/31/2017,10.00,10.00,10.00,10.00,2400.00
CIP,6/27/2018,6.00,6.00,5.90,5.90,300.00
CIP,7/31/2018,5.10,10.80,5.10,10.80,900.00
CIP,8/17/2018,12.40,16.30,12.40,16.30,300.00
CIP,11/28/2018,19.90,34.30,19.90,34.30,500.00
CKA,10/31/2018,22.00,22.00,19.80,20.00,16400.00
CKA,11/27/2018,17.00,17.00,14.00,14.00,1300.00
CKA,12/21/2018,12.60,15.40,12.60,13.20,1000.00
CJC,1/25/2013,6.63,6.63,6.63,6.63,1500.00
CJC,2/20/2013,7.28,7.98,7.28,7.98,1000.00
CJC,3/26/2013,7.24,11.27,7.24,10.88,8600.00
CJC,4/23/2013,10.40,10.40,9.97,10.14,2900.00
CJC,5/28/2013,9.14,10.49,8.23,10.49,1900.00
CJC,6/12/2013,11.23,11.23,10.40,10.40,600.00
CJC,7/30/2013,9.46,9.46,9.46,9.46,6200.00
CJC,8/31/2013,9.69,9.69,9.69,9.69,1700.00
CJC,9/13/2013,9.22,9.22,9.17,9.17,1600.00
CJC,10/28/2013,8.51,11.16,8.51,11.16,1300.00
CJC,11/22/2013,10.12,10.12,7.80,8.56,3200.00
CJC,12/31/2013,8.75,8.98,8.13,8.37,11500.00
CJC,1/27/2014,9.17,11.77,8.42,10.02,12100.00
CJC,2/25/2014,9.46,12.06,9.46,11.11,20900.00
CJC,3/27/2014,11.16,12.29,10.02,11.16,5400.00
CJC,4/28/2014,11.16,12.72,10.40,11.35,11400.00
CJC,5/29/2014,11.35,12.48,10.40,12.48,14400.00
CJC,6/26/2014,11.30,15.46,10.87,15.46,3900.00
CJC,7/31/2014,15.46,17.35,11.49,11.80,15200.00
CJC,8/27/2014,11.49,14.51,10.76,11.80,5700.00
CJC,9/30/2014,11.02,14.09,10.71,13.00,3800.00
CJC,10/30/2014,11.70,13.99,10.87,12.69,12000.00
CJC,11/27/2014,13.41,13.41,11.07,12.95,3800.00
CJC,12/30/2014,13.41,13.41,12.06,13.26,2400.00
CJC,1/27/2015,11.96,11.96,10.40,11.33,10600.00
CJC,2/27/2015,11.33,11.33,9.88,10.14,4400.00
CJC,3/30/2015,11.13,13.99,11.13,13.41,5500.00
CJC,4/22/2015,12.11,12.11,10.45,10.45,3000.00
CJC,5/27/2015,10.45,10.66,10.45,10.66,4200.00
CJC,6/29/2015,11.59,12.27,11.07,11.07,600.00
CJC,7/31/2015,10.14,15.14,8.71,15.14,15600.00
CJC,8/31/2015,16.62,26.46,15.42,15.94,1073934.00
CJC,9/30/2015,17.47,20.95,15.88,20.95,245417.00
CJC,10/6/2015,19.06,20.95,19.06,20.95,200.00
